ID Producto **,Nombre Producto *,Costo,Activo,Medida Base
PRO007,CHATA DE RES 150 GR,8640,1,UN
PRO003,CARNE DE HAMBURGUESA ANGUS 150GR,6552,1,UN
PRO002,CAMARONES X UND,716,1,UN
PRO001,BONDIOLA DE CERDO,24500,1,kg
PRO004,CARNE MOLIDA DE CERDO (PIERNA),21800,1,kg
PRO010,"CHICHARRON EXTRA GR (CONFITADO, LENTEJO)",28050,1,kg
PRO011,CHICHARRON BARRIGUERO EL SOCIAL (PICADA),29800,1,kg
PRO020,FILETE PECHUGA X 300GR,7800,1,UN
PRO021,FILETE TILAPIA GR,24000,1,kg
PRO025,MORCILLA PICADA UND,1005,1,UN
PRO029,POLLO ENTERO N°12,26181,1,UN
PRO031,PUNTA DE ANCA X250 GR,14535,1,UN
PRO033,SOLOMITO ADOQUIN 220,14080,1,UN
PRO035,SOLOMO EXTRANJERO,38000,1,kg
PRO042,JAMON DE PAVO GR,49500,1,kg
PRO050,SALCHICHA ALEMANA,37000,1,kg
PRO054,SERRANO SALAMI GR,101190,1,kg
PRO055,TERRINE DE PATO,23205,1,UN
PRO058,PERNIL MIXTO (SUDADO DE POLLO),2502.5,1,UN
PRO059,NUGGET DE POLLO,660,1,UN
PRO008,CHATA DE RES 250 GR,13878,1,UN
PRO013,CHORIZO CRIOLLO UND,4229,1,UN
PRO014,CHORIZO PICADA (CASERO),5968,1,UN
PRO017,COSTILLAS SAN LUIS GR,23900,1,kg
PRO028,PIERNA DE CERDO,23590,1,kg
PRO034,SOLOMITO BABY BEFF 220,14679,1,UN
PRO038,CHORIZO VELA PICANTE 100GR,8100,1,UN
PRO044,JAMON PIETRAN GR,34788,1,kg
PRO045,JAMON SERRANO,142000,1,kg
PRO052,SALCHICHA CERVELAT,3300,1,kg
PRO057,FUET ENTERO,24157,1,kg
PRO061,POSTA,38500,1,kg
PRO062,POSTA 150,5720,1,UN
PRO005,CARNE MOLIDA DE RES (TABLA),32900,1,kg
PRO016,CONTRAMUSLO,2360,1,UN
PRO024,MONDONGO,24880,1,kg
PRO027,MORRILLO,28200,1,kg
PRO030,PUNTA DE ANCA X150GR,9881,1,UN
PRO032,SALCHICHON CERVERONI,24500,1,kg
PRO036,CABANO GR,60600,1,kg
PRO037,CHORIZO RUEDA,65000,1,kg
PRO039,CHORIZO VELA PICANTE GR,81000,1,kg
PRO043,JAMON KOLER GR,116620,1,kg
PRO047,LOMO CURADO GR,57800,1,kg
PRO051,SALCHICHA SUIZA,3700,1,UN
PRO056,MILANESA DE LENTEJAS,3434,1,UN
PRO063,PECHUGA SIN PIEL,19400,1,kg
PRO006,CARNE TABLA,34800,1,kg
PRO009,"CHICHARRON TOCINO (BANDEJA, BURGER)",28500,1,kg
PRO012,CHORIZO BANDEJA PAISA UND,2660,1,UN
PRO015,CHULETA DE CERDO 150 GR,3583,1,UN
PRO018,FILETE DE CORVINA,56000,1,kg
PRO019,FILETE PECHUGA X 150GR,3900,1,UN
PRO022,TILAPIA ENTERA,6210,1,UN
PRO023,LOMO CADERA 250GR,10975,1,UN
PRO040,CHORIZO VELA,67667,1,kg
PRO041,JAMON DE CERDO CARNELLY,30360,1,kg
